milis,posisi_target,posisi_bola
15212,16,16
15323,16,16
15433,16,16
15545,16,16
15655,16,16
15766,16,16
15878,16,16
15988,16,16
16099,16,16
16210,16,16
16321,16,16
16432,16,16
16543,16,16
16654,16,16
16764,16,16
16876,16,16
16987,16,16
17097,16,16
17209,16,16
17319,16,16
17430,16,16
17542,16,16
17652,16,16
17763,16,16
17874,16,16
17985,16,16
18096,16,16
18207,16,16
18318,16,16
18428,16,16
18540,16,16
18651,16,16
18762,16,16
18873,16,16
18983,16,16
19095,16,16
19206,16,16
19316,16,16
19428,16,16
19538,16,16
19649,16,16
19761,16,16
19871,16,16
19982,16,16
20093,16,16
20204,16,16
20315,16,16
20426,16,16
20537,16,16
20647,16,16
20759,16,16
20870,16,16
20980,16,16
21092,16,16
21202,16,16
21313,16,16
21425,16,16
21535,16,16
21646,16,16
21757,16,16
21868,16,16
21979,16,16
22090,16,16
22201,16,16
22311,16,16
22423,16,16
22534,16,16
22644,16,16
22756,16,16
22866,16,16
22977,16,16
23089,16,16
23199,16,16
23310,16,16
23421,16,16
23532,16,16
23643,16,16
23754,16,16
23865,16,16
23975,16,15
24086,16,11
24196,16,6
24305,16,3
24414,16,2
24522,16,2
24631,16,2
24739,16,5
24849,16,11
24961,16,16
25072,16,22
25185,16,23
25297,16,22
25409,16,20
25521,16,20
25632,16,18
25744,16,17
25854,16,18
25966,16,18
26078,16,18
26189,16,18
26301,16,20
26413,16,20
26524,16,21
26636,16,21
26748,16,22
26860,16,22
26973,16,22
27084,16,22
27197,16,21
27309,16,20
27420,16,20
27532,16,19
27643,16,18
27755,16,18
27866,16,18
27977,16,17
28089,16,17
28199,16,17
28311,16,16
28422,16,17
28533,16,17
28645,16,17
28755,16,17
28867,16,17
28978,16,17
29089,16,17
29200,16,17
29312,16,17
29422,16,17
29534,16,17
29644,16,17
29756,16,17
29867,16,17
29978,16,17
30089,16,17
30200,16,17
30312,16,17
30423,16,17
30534,16,17
30645,16,17
30756,16,17
30867,16,17
30979,16,17
31089,16,17
31201,16,17
31311,16,17
31423,16,17
31534,16,17
31645,16,17
31756,16,17
31867,16,17
31979,16,17
32090,16,17
32201,16,17
32312,16,17
32423,16,17
32534,16,17
32646,16,17
32756,16,17
32868,16,17
32978,16,17
33090,16,17
33201,16,17
33312,16,17
33424,16,17
33534,16,17
33646,16,17
33757,16,17
33868,16,17
33979,16,17
34091,16,17
34201,16,17
34313,16,17
34423,16,17
34535,16,17
34646,16,17
34757,16,17
34868,16,17
34979,16,17
35090,16,17
35202,16,17
35313,16,17
35424,16,17
35535,16,17
35646,16,17
35758,16,17
35869,16,17
35980,16,17
36091,16,17
36202,16,17
36314,16,17
36424,16,17
36536,16,17
36646,16,17
36758,16,17
36869,16,17
36980,16,17
37091,16,17
37202,16,17
37314,16,17
37425,16,17
37536,16,17
37647,16,17
37758,16,17
37869,16,17
37981,16,17
38091,16,17
38203,16,17
38313,16,17
38425,16,16
38536,16,16
38646,16,16
38758,16,15
38868,16,14
38979,16,12
39089,16,8
39198,16,6
39308,16,4
39416,16,4
39526,16,4
39634,16,4
39744,16,6
39853,16,8
39963,16,10
40074,16,13
40184,16,16
40295,16,17
40407,16,19
40518,16,21
40631,16,21
40742,16,20
40854,16,21
40966,16,19
41077,16,18
41189,16,17
41299,16,17
41411,16,15
41522,16,16
41632,16,13
41743,16,13
41853,16,13
41964,16,12
42075,16,12
42185,16,13
42296,16,13
42406,16,14
42517,16,15
42628,16,16
42739,16,15
42850,16,16
42961,16,17
43072,16,18
43184,16,18
43295,16,18
43407,16,18
43517,16,19
43629,16,18
43741,16,18
43852,16,17
43963,16,17
44075,16,16
44185,16,16
44296,16,16
44407,16,16
44518,16,16
44628,16,16
44740,16,16
44851,16,16
44961,16,16
45073,16,16
45184,16,16
45294,16,16
45406,16,16
45516,16,16
45627,16,16
45737,16,16
45849,16,16
45960,16,16
46070,16,16
46182,16,16
46292,16,16
46403,16,16
46515,16,16
46625,16,16
46736,16,16
46848,16,16
46958,16,14
47068,16,10
47177,16,5
47287,16,2
47395,16,1
47504,16,1
47612,16,2
47721,16,6
47832,16,11
47942,16,17
48054,16,23
48166,16,23
48279,16,22
48391,16,21
48502,16,19
48614,16,17
48724,16,16
48836,16,16
48947,16,16
49057,16,17
49169,16,16
49280,16,16
49390,16,16
49502,16,16
49612,16,16
49723,16,16
49835,16,16
49945,16,16
50056,16,16
50167,16,16
50278,16,16
50390,16,16
50500,16,16
50611,16,16
50722,16,16
50833,16,16
50944,16,16
51055,16,16
51166,16,16
51276,16,16
51388,16,16
51499,16,16
51609,16,16
51721,16,16
51831,16,16
51942,16,16
52054,16,16
52164,16,16
52275,16,16
52386,16,16
52497,16,17
52608,16,14
52718,16,8
52827,16,3
52935,16,3
53044,16,1
53153,16,5
53263,16,10
53373,16,16
53485,16,23
53598,16,23
53710,16,23
53822,16,22
53935,16,20
54046,16,20
54158,16,20
54269,16,20
54381,16,20
54493,16,20
54604,16,20
54716,16,20
54828,16,20
54939,16,20
55051,16,20
55162,16,20
55275,16,20
55387,16,20
55498,16,20
55610,16,20
55721,16,20
55833,16,20
55945,16,20
56056,16,20
56168,16,20
56280,16,20
56391,16,20
56503,16,20
56614,16,20
56727,16,20
56839,16,20
56950,16,20
57062,16,20
57174,16,20
57285,16,19
57397,16,18
57507,16,17
57619,16,16
57730,16,15
57841,16,16
57952,16,13
58062,16,12
58172,16,10
58281,16,10
58392,16,10
58502,16,10
58612,16,10
58722,16,12
58832,16,14
58944,16,15
59055,16,16
59166,16,17
59277,16,17
59388,16,18
59500,16,17
59611,16,17
59722,16,17
59834,16,17
59944,16,17
60056,16,17
60168,16,17
60278,16,17
60390,16,17
60500,16,17
60612,16,17
60724,16,17
60834,16,17
60946,16,17
61058,16,17
61168,16,17
61280,16,17
61391,16,17
61502,16,17
61614,16,17
61724,16,17
61836,16,17
61947,16,17
62058,16,17
62170,16,17
62281,16,17
62392,16,17
62503,16,17
62615,16,17
62726,16,17
62837,16,18
62949,16,17
63059,16,17
63171,16,17
63282,16,16
63393,16,17
63504,16,16
63616,16,15
63726,16,15
63837,16,14
63947,16,12
64058,16,11
64167,16,10
64277,16,9
64388,16,10
64497,16,10
64608,16,11
64717,16,12
64828,16,13
64939,16,15
65050,16,15
65161,16,16
65272,16,16
65383,16,18
65495,16,19
65606,16,19
65718,16,19
65829,16,19
65941,16,19
66053,16,19
66164,16,18
66275,16,18
66386,16,18
66498,16,18
66609,16,18
66720,16,18
66832,16,18
66944,16,18
67054,16,18
67166,16,18
67277,16,18
67388,16,18
67500,16,18
67611,16,18
67722,16,18
67833,16,18
67945,16,18
68056,16,18
68167,16,18
68279,16,18
68390,16,18
68501,16,18
68613,16,18
68724,16,17
68835,16,16
68946,16,16
69057,16,15
69168,16,13
69278,16,11
69388,16,8
69497,16,7
69607,16,6
69716,16,7
69825,16,7
69935,16,7
70044,16,9
70155,16,12
70265,16,13
70376,16,16
70487,16,16
70598,16,17
70710,16,19
70821,16,20
70934,16,21
71046,16,20
71157,16,20
71269,16,20
71380,16,19
71492,16,19
71604,16,18
71714,16,16
71826,16,17
71937,16,16
72048,16,15
72159,16,15
72269,16,15
72380,16,13
72491,16,13
72601,16,14
72712,16,13
72822,16,13
72933,16,13
73043,16,13
73154,16,13
73265,16,13
73375,16,13
73486,16,13
73596,16,13
73707,16,13
73818,16,14
73928,16,14
74039,16,15
74150,16,15
74261,16,15
74372,16,15
74483,16,15
74594,16,16
74705,16,17
74816,16,17
74928,16,17
75039,16,18
75150,16,19
75262,16,20
75374,16,20
75486,16,20
75597,16,20
75709,16,20
75821,16,20
75932,16,19
76044,16,18
76155,16,18
76267,16,18
76378,16,17
76489,16,17
76600,16,17
76711,16,17
76822,16,16
76934,16,16
77044,16,17
77155,16,16
77266,16,16
77377,16,17
77489,16,17
77599,16,17
77711,16,17
77821,16,17
77933,16,17
78044,16,17
78155,16,17
78266,16,17
78377,16,17
78488,16,17
78600,16,17
78711,16,17
78822,16,17
78934,16,17
79044,16,17
79156,16,17
79266,16,17
79378,16,17
79489,16,17
79600,16,17
79711,16,17
79822,16,17
79933,16,17
80045,16,17
80156,16,17
80267,16,17
80378,16,17
80489,16,17
80601,16,17
80711,16,17
80823,16,17
80933,16,17
81045,16,17
81156,16,16
81266,16,16
81378,16,16
81488,16,15
81599,16,16
81711,16,16
81821,16,15
81932,16,14
82043,16,15
82154,16,15
82265,16,15
82375,16,13
82486,16,13
82596,16,14
82707,16,13
82818,16,13
82928,16,13
83039,16,13
83149,16,13
83260,16,13
83371,16,13
83480,16,13
83591,16,13
83701,16,14
83812,16,14
83922,16,14
84033,16,14
84144,16,14
84254,16,14
84365,16,14
84476,16,14
84587,16,14
84698,16,14
84808,16,14
84919,16,14
85029,16,13
85140,16,13
85251,16,14
85361,16,14
85472,16,15
85582,16,15
85694,16,16
85805,16,17
85916,16,19
86028,16,20
86139,16,23
86252,16,23
86364,16,23
86476,16,23
86588,16,21
86701,16,19
86811,16,18
86923,16,17
87033,16,15
87145,16,15
87256,16,14
87366,16,14
87477,16,13
87587,16,15
87699,16,15
87810,16,15
87920,16,15
88031,16,15
88142,16,16
88253,16,15
88365,16,16
88475,16,17
88587,16,17
88698,16,18
88809,16,17
88921,16,18
89032,16,18
89143,16,17
89254,16,17
89366,16,17
89477,16,17
89588,16,17
89700,16,17
89810,16,17
89922,16,17
90034,16,17
90144,16,17
90256,16,17
90366,16,17
90478,16,17
90590,16,17
90700,16,17
90812,16,17
