milis,posisi_target,posisi_bola
0,16,1
108,16,3
218,16,8
329,16,14
439,16,18
551,16,22
663,16,24
776,16,23
888,16,22
1000,16,20
1112,16,19
1222,16,17
1334,16,16
1446,16,16
1556,16,16
1668,16,16
1779,16,17
1890,16,17
2001,16,17
2112,16,17
2223,16,17
2335,16,17
2446,16,17
2557,16,17
2668,16,17
2780,16,17
2891,16,17
3002,16,17
3114,16,17
3224,16,17
3336,16,17
3448,16,17
3558,16,17
3670,16,17
3780,16,17
3892,16,17
4004,16,17
4114,16,17
4226,16,17
4337,16,17
4448,16,17
4560,16,17
4671,16,17
4782,16,17
4894,16,17
5004,16,16
5116,16,16
5226,16,16
5337,16,16
5449,16,16
5559,16,16
5670,16,16
5781,16,16
5892,16,16
6003,16,16
6114,16,16
6225,16,16
6335,16,16
6447,16,16
6558,16,16
6668,16,16
6780,16,16
6890,16,16
7001,16,16
7113,16,16
7223,16,16
7334,16,16
7445,16,16
7556,16,16
7667,16,16
7778,16,16
7889,16,16
7999,16,16
8111,16,16
8222,16,16
8332,16,16
8444,16,16
8554,16,16
8665,16,16
8777,16,16
8887,16,16
8998,16,16
9109,16,16
9220,16,16
